a2,b2,c2
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c0
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b0,c1
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c0
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a0,b1,c1
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c0
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b0,c1
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c0
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
a1,b1,c1
